emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,combined_annual_income,combined_dti,months_since_last_delinq_never,months_since_90d_late_never,months_since_last_credit_inquiry_never,emp_length_missing,credit_history_years,target_delinquent
2.0,NE,RENT,30000.0,3.64,0,999.0,0,9,7,18000,5542,0,0,999.0,0,0,0,1,999.0,7,0,2,17000,8,7,3,0,100.0,0,0,car,individual,16000,60,30000.0,3.64,1,1,1,0,4,0
6.0,NC,MORTGAGE,88000.0,17.24,0,61.0,2,39,25,404236,199983,0,0,999.0,0,0,18,5,3.0,25,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,88000.0,17.24,0,1,0,0,12,0
2.0,TX,MORTGAGE,115000.0,18.72,0,26.0,6,21,15,394519,69124,0,0,42.0,0,0,2,11,1.0,15,0,8,40150,12,10,5,2,76.0,0,0,debt_consolidation,individual,20000,60,115000.0,18.72,0,0,0,0,11,0
10.0,TX,RENT,95731.0,19.64,0,999.0,1,37,15,86768,53109,0,0,999.0,0,0,2,10,4.0,15,0,2,33700,21,13,4,0,100.0,0,0,debt_consolidation,individual,20600,60,95731.0,19.64,1,1,0,0,14,0
2.0,CA,RENT,127000.0,9.12,1,7.0,0,11,9,74518,34313,0,0,999.0,0,0,1,2,18.0,9,0,3,32300,9,8,4,0,100.0,0,0,major_purchase,individual,35000,60,127000.0,9.12,0,1,0,0,3,0
10.0,GA,MORTGAGE,75000.0,22.91,0,999.0,0,27,8,224758,63799,0,0,999.0,0,0,4,1,999.0,8,0,1,23000,8,3,1,3,100.0,0,0,debt_consolidation,joint,10000,36,145000.0,22.42,1,1,1,0,23,0
5.0,NC,MORTGAGE,70000.0,21.41,0,999.0,1,21,6,279995,52244,0,0,999.0,0,0,2,4,9.0,6,0,1,14800,10,3,2,3,100.0,0,0,debt_consolidation,individual,12000,36,70000.0,21.41,1,1,0,0,8,0
6.0,FL,OWN,22000.0,13.05,0,49.0,0,6,3,130600,4277,0,0,49.0,0,0,0,0,999.0,3,0,1,2300,3,2,2,1,80.0,0,0,debt_consolidation,joint,1925,36,40000.0,22.39,0,0,1,1,32,0
8.0,NJ,MORTGAGE,75000.0,20.16,0,999.0,4,39,23,365595,30262,0,0,999.0,0,391,2,9,0.0,23,0,6,49600,31,20,7,1,100.0,0,0,house,individual,15000,36,75000.0,20.16,1,1,0,0,10,0
10.0,NV,MORTGAGE,73000.0,39.08,0,999.0,8,28,24,146435,51162,0,1,999.0,0,0,3,9,0.0,24,0,8,40600,24,21,13,1,100.0,0,1,debt_consolidation,individual,20000,36,73000.0,39.08,1,1,0,0,9,0
6.0,NV,MORTGAGE,76000.0,14.62,0,999.0,2,15,14,368543,24135,0,0,999.0,0,0,2,9,12.0,14,0,5,56300,11,11,5,2,100.0,0,0,debt_consolidation,individual,6000,36,76000.0,14.62,1,1,0,1,7,0
10.0,CO,RENT,188000.0,11.64,0,999.0,1,26,24,80444,45181,0,0,999.0,0,0,2,10,6.0,24,0,15,28500,22,22,20,0,100.0,0,0,debt_consolidation,individual,10000,36,188000.0,11.64,1,1,0,0,11,0
8.0,WV,MORTGAGE,50000.0,12.15,0,80.0,8,27,13,97664,21687,0,1,999.0,0,0,1,3,10.0,13,0,4,25600,21,11,4,2,96.2,0,1,debt_consolidation,individual,25000,36,50000.0,12.15,0,1,0,0,9,0
10.0,MD,OWN,58000.0,12.58,0,43.0,0,22,10,37300,14770,0,0,43.0,0,0,0,3,999.0,10,0,4,17000,14,9,6,2,86.4,0,0,debt_consolidation,individual,10000,36,58000.0,12.58,0,0,1,0,12,0
1.0,VA,RENT,105000.0,16.73,0,999.0,0,6,6,63600,53168,0,0,999.0,0,0,1,0,999.0,6,0,4,51100,5,5,4,0,100.0,0,0,debt_consolidation,individual,6000,36,105000.0,16.73,1,1,1,0,26,0
10.0,VA,MORTGAGE,114000.0,28.13,1,15.0,1,28,17,451597,88594,0,0,15.0,0,0,6,8,12.0,17,0,2,33000,14,10,8,5,96.4,0,0,credit_card,individual,20000,60,114000.0,28.13,0,0,0,0,15,0
10.0,CA,MORTGAGE,150000.0,7.89,0,999.0,1,22,8,96633,43253,0,0,999.0,0,0,2,6,2.0,8,0,4,54000,18,6,4,0,100.0,0,0,medical,individual,15000,36,150000.0,7.89,1,1,0,0,24,0
0.0,PA,MORTGAGE,69000.0,15.42,0,75.0,0,37,8,291176,33890,0,0,999.0,0,0,2,3,14.0,8,0,2,57700,23,5,3,2,94.3,0,0,debt_consolidation,individual,20000,36,69000.0,15.42,0,1,0,0,13,0
10.0,FL,MORTGAGE,30000.0,32.4,0,27.0,1,27,23,69244,23425,0,0,38.0,0,0,1,4,10.0,21,0,5,16850,23,20,15,0,93.0,0,0,debt_consolidation,individual,10500,60,30000.0,32.4,0,0,0,0,11,0
5.0,IL,MORTGAGE,60000.0,17.28,0,999.0,2,16,13,47882,36724,0,1,999.0,0,295,2,8,5.0,13,0,6,12300,13,11,8,1,100.0,0,1,credit_card,individual,11400,60,60000.0,17.28,1,1,0,0,14,0
5.0,NH,MORTGAGE,74000.0,32.06,0,999.0,0,15,9,384554,63783,0,0,999.0,0,0,3,1,16.0,9,0,5,66400,7,5,5,3,100.0,0,0,car,individual,5500,36,74000.0,32.06,1,1,0,0,17,0
0.0,UT,RENT,25000.0,3.7,1,14.0,1,6,4,1900,807,0,0,999.0,0,0,0,2,1.0,4,0,2,1200,6,4,3,0,66.7,0,0,debt_consolidation,individual,5000,36,25000.0,3.7,0,1,0,0,44,0
6.0,DE,OWN,32000.0,22.09,0,34.0,6,13,6,30649,24714,0,0,34.0,0,0,3,7,1.0,6,0,2,2500,4,3,3,3,76.9,0,0,other,individual,9600,36,32000.0,22.09,0,0,0,1,18,0
0.0,MA,RENT,31000.0,16.26,0,56.0,2,32,21,43430,14955,0,0,60.0,0,0,1,11,9.0,21,0,8,22000,24,20,10,0,100.0,0,0,other,individual,15000,36,31000.0,16.26,0,0,0,0,7,0
3.0,NJ,RENT,64000.0,8.72,0,999.0,0,5,5,49500,19719,0,0,999.0,0,0,1,1,15.0,5,0,2,25000,4,4,2,0,100.0,0,0,debt_consolidation,individual,10000,36,64000.0,8.72,1,1,0,0,6,0
3.0,KY,RENT,24000.0,16.3,0,999.0,1,11,11,54966,42068,0,0,999.0,0,0,9,3,1.0,11,0,1,10000,2,2,1,0,100.0,0,0,major_purchase,individual,10450,60,24000.0,16.3,1,1,0,0,5,0
2.0,NC,MORTGAGE,77000.0,16.04,0,999.0,3,23,16,188426,59514,0,0,999.0,0,0,5,8,1.0,16,0,2,14800,11,10,2,1,100.0,0,0,credit_card,individual,7200,36,77000.0,16.04,1,1,0,0,4,0
10.0,FL,MORTGAGE,31000.0,28.42,0,999.0,0,15,8,190216,24861,0,0,999.0,0,0,1,0,999.0,8,0,4,20300,7,6,6,4,100.0,0,0,debt_consolidation,joint,35000,60,81065.0,25.59,1,1,1,0,15,0
6.0,OR,RENT,13930.0,21.94,0,999.0,1,11,6,13450,4212,0,0,999.0,0,0,1,6,6.0,6,0,3,2700,10,5,4,0,100.0,0,0,debt_consolidation,individual,4200,36,13930.0,21.94,1,1,0,1,6,0
0.0,OH,RENT,60000.0,19.22,0,999.0,3,23,14,69357,68594,0,0,999.0,0,0,9,2,6.0,14,0,3,10600,4,4,4,0,100.0,0,0,other,individual,2400,36,60000.0,19.22,1,1,0,0,9,0
9.0,TX,MORTGAGE,41787.0,37.74,0,999.0,1,32,11,42639,36441,0,0,999.0,0,0,2,7,5.0,11,0,8,22300,17,9,9,1,100.0,0,0,credit_card,individual,12800,36,41787.0,37.74,1,1,0,0,24,0
4.0,CA,MORTGAGE,45000.0,15.44,0,999.0,2,31,18,215675,13559,0,1,999.0,0,0,2,13,9.0,18,0,5,20700,21,15,6,2,100.0,0,1,other,joint,8000,36,100000.0,16.37,1,1,0,0,11,0
0.0,OK,MORTGAGE,77000.0,18.39,0,37.0,3,11,7,174300,31663,0,0,999.0,0,542,3,4,1.0,7,0,2,12400,5,3,3,1,90.0,0,0,debt_consolidation,individual,30000,36,77000.0,18.39,0,1,0,0,15,0
1.0,PA,MORTGAGE,72000.0,27.23,0,36.0,7,21,13,158659,65964,0,1,999.0,0,0,5,8,0.0,13,0,2,7900,8,7,4,1,95.2,0,1,debt_consolidation,individual,7000,36,72000.0,27.23,0,1,0,0,15,0
8.0,TX,MORTGAGE,165000.0,11.14,0,999.0,2,24,8,103527,70510,0,0,999.0,0,0,2,5,12.0,8,0,3,43500,9,6,4,2,100.0,0,0,other,individual,25000,36,165000.0,11.14,1,1,0,0,16,0
10.0,FL,MORTGAGE,43000.0,1.56,0,999.0,3,30,15,45100,860,0,0,999.0,0,0,0,8,0.0,15,0,3,35600,21,15,3,2,100.0,0,0,home_improvement,individual,40000,60,43000.0,1.56,1,1,0,0,32,0
10.0,VA,MORTGAGE,90000.0,17.44,0,999.0,1,32,10,524622,87687,0,0,999.0,0,0,2,3,12.0,10,0,3,63500,14,7,3,4,100.0,0,0,debt_consolidation,individual,24000,60,90000.0,17.44,1,1,0,0,17,0
10.0,SD,OWN,95000.0,11.45,0,999.0,2,40,10,73740,14461,0,1,999.0,0,0,1,6,3.0,10,0,5,29600,23,9,8,0,100.0,0,1,debt_consolidation,individual,5000,36,95000.0,11.45,1,1,0,0,41,0
10.0,MO,MORTGAGE,152000.0,21.09,0,48.0,5,44,18,476029,121076,0,0,999.0,0,0,3,9,2.0,18,0,4,170900,27,13,6,4,97.7,0,0,small_business,individual,40000,60,152000.0,21.09,0,1,0,0,15,0
2.0,IL,MORTGAGE,49500.0,34.86,0,999.0,1,35,14,241110,159851,0,0,999.0,0,0,6,8,2.0,14,0,3,26700,8,7,5,1,100.0,0,0,credit_card,individual,15000,60,49500.0,34.86,1,1,0,0,10,0
5.0,TX,OWN,32000.0,13.77,0,36.0,1,21,15,37596,18294,0,0,36.0,0,1176,7,9,12.0,15,0,3,11800,13,8,6,0,76.2,0,0,home_improvement,individual,5000,36,32000.0,13.77,0,0,0,0,12,0
8.0,FL,RENT,78000.0,9.61,0,58.0,3,21,15,48354,40982,0,1,58.0,0,1358,8,3,4.0,15,0,5,11900,8,7,6,1,68.4,0,1,credit_card,individual,7000,36,78000.0,9.61,0,0,0,0,20,0
2.0,AZ,RENT,52000.0,24.39,0,999.0,4,23,9,86360,47451,0,0,999.0,0,8003,4,3,2.0,9,0,1,24500,11,5,1,1,100.0,0,0,debt_consolidation,individual,17450,60,52000.0,24.39,1,1,0,0,12,0
10.0,NY,MORTGAGE,147000.0,5.16,0,56.0,6,11,8,386381,23551,0,0,999.0,0,0,1,6,1.0,8,0,5,20500,6,6,6,1,81.8,0,0,debt_consolidation,individual,30000,60,147000.0,5.16,0,1,0,0,11,0
10.0,NJ,OWN,140000.0,28.53,0,999.0,1,40,14,454500,177350,0,0,999.0,0,0,1,5,6.0,14,0,7,77500,23,12,11,3,100.0,0,0,debt_consolidation,individual,15000,36,140000.0,28.53,1,1,0,0,33,0
5.0,IL,RENT,50000.0,20.74,0,999.0,8,39,28,128476,16061,0,0,999.0,0,0,1,7,1.0,28,0,9,60000,32,27,14,1,100.0,0,0,debt_consolidation,individual,20000,36,50000.0,20.74,1,1,0,0,14,0
6.0,MN,RENT,55000.0,12.22,4,19.0,3,22,16,26500,10994,0,1,19.0,0,0,0,4,2.0,16,0,4,7600,22,16,13,0,85.7,0,1,debt_consolidation,individual,15000,60,55000.0,12.22,0,0,0,1,16,0
3.0,TX,MORTGAGE,190000.0,15.84,0,999.0,0,15,10,619105,84019,0,0,999.0,0,0,2,5,18.0,10,0,3,62000,9,6,5,2,100.0,0,0,debt_consolidation,individual,12000,36,190000.0,15.84,1,1,0,0,16,0
10.0,CO,RENT,126000.0,3.82,0,999.0,0,9,3,49529,7020,0,0,999.0,0,0,1,0,999.0,3,0,1,27200,5,2,1,0,100.0,0,0,debt_consolidation,individual,16500,36,126000.0,3.82,1,1,1,0,13,0
10.0,MA,MORTGAGE,95000.0,15.48,0,999.0,2,18,13,277964,47779,0,1,999.0,0,0,3,9,7.0,13,0,6,39100,10,9,7,1,100.0,0,1,debt_consolidation,individual,19200,36,95000.0,15.48,1,1,0,0,6,0
10.0,NJ,MORTGAGE,80000.0,14.16,0,999.0,2,19,11,285387,22788,0,0,999.0,0,0,2,3,1.0,11,0,6,32500,11,8,6,2,100.0,0,0,major_purchase,individual,7050,36,80000.0,14.16,1,1,0,0,7,0
10.0,MN,MORTGAGE,23000.0,49.58,0,59.0,2,31,11,44927,29553,0,1,59.0,0,0,1,3,0.0,10,0,7,14700,17,10,7,2,96.0,0,1,credit_card,joint,15000,60,98000.0,19.87,0,0,0,0,22,0
10.0,NY,OWN,66000.0,13.27,0,50.0,0,11,7,65475,60327,0,0,999.0,0,0,1,2,17.0,7,0,3,20800,9,6,5,1,81.8,0,0,debt_consolidation,joint,11200,36,169000.0,16.56,0,1,0,0,26,0
5.0,IL,RENT,60000.0,16.72,0,999.0,13,11,11,242220,30552,0,0,999.0,0,0,2,7,4.0,11,0,6,15600,8,8,7,1,100.0,0,0,debt_consolidation,individual,8000,36,60000.0,16.72,1,1,0,0,4,0
0.0,TX,MORTGAGE,101000.0,18.5,1,5.0,2,41,15,343573,39168,0,0,5.0,0,0,4,8,11.0,15,0,4,20000,26,10,5,2,95.1,0,0,debt_consolidation,individual,20000,60,101000.0,18.5,0,0,0,0,11,0
4.0,TN,MORTGAGE,113000.0,15.28,0,999.0,6,29,21,795794,78028,0,1,999.0,0,0,9,7,0.0,21,0,4,16600,13,10,7,3,100.0,0,1,home_improvement,individual,10800,60,113000.0,15.28,1,1,0,0,14,0
10.0,NH,MORTGAGE,61000.0,19.05,0,58.0,9,41,11,141543,42210,0,0,58.0,0,15599,2,3,2.0,11,0,1,3000,27,8,4,3,87.8,0,0,debt_consolidation,individual,7200,36,61000.0,19.05,0,0,0,0,18,0
1.0,SC,RENT,28000.0,26.96,0,999.0,0,11,10,28300,13329,0,0,999.0,0,0,1,0,19.0,10,0,5,7900,10,9,8,0,100.0,0,0,debt_consolidation,individual,12000,36,28000.0,26.96,1,1,0,0,5,0
2.0,NY,MORTGAGE,75000.0,21.63,0,999.0,2,27,17,213035,79897,0,0,999.0,0,0,2,7,5.0,17,0,4,46900,19,14,7,3,100.0,0,0,credit_card,individual,20000,36,75000.0,21.63,1,1,0,0,12,0
2.0,FL,MORTGAGE,44000.0,24.77,0,999.0,8,16,9,56476,40706,0,0,999.0,0,167,3,7,3.0,9,0,2,9500,8,6,5,0,100.0,0,0,home_improvement,individual,7200,36,44000.0,24.77,1,1,0,0,5,0
2.0,TX,RENT,60000.0,18.36,0,999.0,2,15,5,36564,20307,0,0,999.0,0,110,2,2,10.0,5,0,1,600,2,2,2,0,100.0,0,0,small_business,individual,6000,36,60000.0,18.36,1,1,0,0,5,0
