emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,months_since_last_delinq,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,combined_annual_income,combined_dti,months_since_last_delinq_never,months_since_90d_late_never,months_since_last_credit_inquiry_never,emp_length_missing,credit_history_years,loan_to_income,installment_to_income,credit_utilization_ratio,open_credit_ratio,cc_balance_ratio,open_cc_ratio,recent_account_ratio,accounts_per_credit_year,inquiries_per_credit_year,total_negative_marks,has_delinq_history,region,log_annual_income,log_loan_amount,target_delinquent
10.0,IL,MORTGAGE,75000.0,10.45,0,50.0,4,22,10,39433,22895,0,1,999.0,0,0,2,6,3.0,10,0,2,5000,16,8,5,2,94.1,0,1,debt_consolidation,individual,25000,60,75000.0,10.45,0,1,0,0,20,0.3333333333333333,0.06666666666666667,0.580605076965993,0.45454545454545453,0.625,0.5,0.2727272727272727,1.1,0.2,2,1,Midwest,11.225256725762893,10.12667110305036,0
2.0,FL,MORTGAGE,91900.0,1.82,0,999.0,4,26,10,450371,55939,0,0,999.0,0,0,1,7,4.0,10,0,2,9000,15,8,3,3,92.0,0,0,other,individual,40000,60,91900.0,1.82,1,1,0,0,16,0.4352557127312296,0.08705114254624592,0.12420648754027236,0.38461538461538464,0.375,0.5333333333333333,0.2692307692307692,1.625,0.25,0,0,South,11.428467189677395,10.596659732783579,0
5.0,SC,MORTGAGE,122000.0,12.06,0,37.0,8,32,12,263800,43686,0,0,37.0,0,31245,2,11,1.0,12,0,3,12100,20,9,5,3,84.4,0,0,debt_consolidation,individual,16000,36,122000.0,12.06,0,0,0,0,26,0.13114754098360656,0.043715846994535526,0.1656027293404094,0.375,0.5555555555555556,0.45,0.34375,1.2307692307692308,0.3076923076923077,0,0,South,11.711784520403112,9.680406499268875,0
10.0,CO,MORTGAGE,88000.0,3.67,0,44.0,6,65,21,259915,14387,0,0,999.0,0,0,0,7,0.0,21,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,88000.0,3.67,0,1,0,0,32,0.19318181818181818,0.038636363636363635,0.05535271146336302,0.3230769230769231,0.3,0.37735849056603776,0.1076923076923077,2.03125,0.1875,0,0,West,11.385103457032141,9.741027444837728,0
6.0,FL,MORTGAGE,17000.0,33.98,1,6.0,0,22,10,74042,26483,0,1,6.0,0,0,3,4,14.0,10,0,2,3600,17,7,2,1,90.9,0,1,debt_consolidation,individual,3000,36,17000.0,33.98,0,0,0,1,10,0.17647058823529413,0.0588235294117647,0.3576753734366981,0.45454545454545453,0.2857142857142857,0.4117647058823529,0.18181818181818182,2.2,0.0,3,1,South,9.741027444837728,8.006700845440367,0
10.0,TN,MORTGAGE,60000.0,38.46,0,999.0,0,21,11,136815,75552,0,0,999.0,0,0,3,1,999.0,11,0,3,39700,10,8,3,2,100.0,0,0,credit_card,individual,20000,60,60000.0,38.46,1,1,1,0,21,0.3333333333333333,0.06666666666666667,0.5522201512991997,0.5238095238095238,0.375,0.8,0.047619047619047616,1.0,0.0,0,0,South,11.002116507732017,9.90353755128617,0
6.0,NV,MORTGAGE,60000.0,31.22,0,77.0,4,21,9,375092,93016,0,0,999.0,0,0,3,8,2.0,9,0,2,15800,7,5,3,2,95.2,0,0,credit_card,individual,12000,60,60000.0,31.22,0,1,0,1,13,0.2,0.04,0.24798182845808495,0.42857142857142855,0.6,0.7142857142857143,0.38095238095238093,1.6153846153846154,0.3076923076923077,0,0,West,11.002116507732017,9.392745258631441,0
3.0,NV,RENT,72000.0,20.33,0,37.0,6,12,6,58911,54947,0,0,37.0,0,0,2,3,2.0,6,0,1,2500,5,4,2,0,91.7,0,0,debt_consolidation,individual,30000,60,72000.0,20.33,0,0,0,0,10,0.4166666666666667,0.08333333333333333,0.9327120571709867,0.5,0.5,0.8,0.25,1.2,0.6,0,0,West,11.184435286790631,10.308985993422082,0
10.0,IL,MORTGAGE,210000.0,9.53,0,999.0,2,18,7,322046,73705,0,0,999.0,0,0,4,6,2.0,7,0,2,17500,6,2,2,5,100.0,0,0,medical,individual,5000,36,210000.0,9.53,1,1,0,0,13,0.023809523809523808,0.007936507936507936,0.2288648205535855,0.3888888888888889,1.0,0.3333333333333333,0.3333333333333333,1.3846153846153846,0.15384615384615385,0,0,Midwest,12.25486757159303,8.517393171418904,0
1.0,CA,MORTGAGE,83000.0,18.44,3,14.0,1,11,6,555154,39482,0,0,22.0,0,0,1,1,8.0,6,0,3,8300,7,4,3,2,63.6,0,0,debt_consolidation,individual,20000,60,83000.0,18.44,0,0,0,0,11,0.24096385542168675,0.048192771084337345,0.0711190048166815,0.5454545454545454,0.75,0.5714285714285714,0.09090909090909091,1.0,0.09090909090909091,3,1,West,11.326607934898927,9.90353755128617,0
10.0,KY,MORTGAGE,50000.0,15.6,0,999.0,0,13,9,70313,18128,0,0,999.0,0,0,2,4,13.0,9,0,2,18800,7,6,4,1,100.0,0,0,credit_card,individual,7000,36,50000.0,15.6,1,1,0,0,13,0.14,0.04666666666666667,0.25781861106765463,0.6923076923076923,0.6666666666666666,0.8571428571428571,0.3076923076923077,1.0,0.0,0,0,South,10.819798284210286,8.853808274977197,0
1.0,NV,MORTGAGE,42000.0,32.0,0,999.0,4,19,9,272403,47575,0,1,999.0,0,0,3,5,5.0,9,0,3,10100,7,5,5,1,100.0,0,1,credit_card,joint,10000,36,95000.0,16.12,1,1,0,0,25,0.10526315789473684,0.03508771929824561,0.17464932471375133,0.47368421052631576,1.0,0.7142857142857143,0.2631578947368421,0.76,0.16,2,1,West,11.461642696843066,9.210440366976517,0
5.0,NJ,MORTGAGE,100000.0,26.53,0,999.0,1,64,17,566384,151251,0,0,999.0,0,150,7,10,6.0,17,0,3,26200,22,8,6,6,100.0,0,0,debt_consolidation,individual,21050,60,100000.0,26.53,1,1,0,0,14,0.2105,0.04209999999999999,0.26704673860843525,0.265625,0.75,0.36363636363636365,0.15625,4.571428571428571,0.07142857142857142,0,0,Northeast,11.51293546492023,9.954703343920398,0
6.0,TX,MORTGAGE,40280.0,7.27,0,999.0,1,10,4,188450,6103,0,0,999.0,0,0,1,0,9.0,4,0,1,7500,7,2,1,1,90.0,0,0,home_improvement,individual,3500,36,40280.0,7.27,1,1,0,1,19,0.08689175769612711,0.028963919232042373,0.03238524807641284,0.4,0.5,0.2857142857142857,0.0,0.5263157894736842,0.05263157894736842,0,0,South,10.603635172740818,8.160803920954665,0
10.0,VA,RENT,82000.0,17.31,0,67.0,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,82000.0,17.31,0,0,0,0,17,0.0975609756097561,0.032520325203252036,1.0573481085212075,0.2692307692307692,1.0,0.35714285714285715,0.11538461538461539,1.5294117647058822,0.058823529411764705,0,0,South,11.314486721293981,8.987321812850125,0
7.0,PA,MORTGAGE,55000.0,14.42,0,999.0,0,20,14,197985,17296,0,0,999.0,0,142,1,3,999.0,14,0,7,22100,16,12,8,1,100.0,0,0,debt_consolidation,individual,18000,60,55000.0,14.42,1,1,1,0,7,0.32727272727272727,0.06545454545454546,0.08736015354698588,0.7,0.6666666666666666,0.75,0.15,2.857142857142857,0.0,0,0,Northeast,10.915106645867503,9.798182590890704,0
1.0,NY,RENT,55000.0,13.68,0,44.0,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,55000.0,13.68,0,0,0,0,3,0.18181818181818182,0.06060606060606061,0.6358645055023752,0.6470588235294118,0.4,0.625,0.6470588235294118,5.666666666666667,2.3333333333333335,0,0,Northeast,10.915106645867503,9.210440366976517,0
5.0,IL,RENT,33000.0,19.38,0,999.0,0,9,8,43876,22920,0,0,999.0,0,0,5,2,19.0,8,0,3,17600,3,3,3,0,100.0,0,0,debt_consolidation,individual,3200,36,33000.0,19.38,1,1,0,0,3,0.09696969696969697,0.03232323232323232,0.5223812562676634,0.8888888888888888,1.0,1.0,0.2222222222222222,3.0,0.0,0,0,Midwest,10.404293143019792,8.071218539969863,0
3.0,GA,RENT,60000.0,11.0,0,70.0,0,13,9,56000,14338,0,0,70.0,0,0,2,5,999.0,9,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,60000.0,11.0,0,0,1,0,18,0.16666666666666666,0.05555555555555555,0.2560357142857143,0.6923076923076923,0.2857142857142857,0.7777777777777778,0.38461538461538464,0.7222222222222222,0.0,0,0,South,11.002116507732017,9.210440366976517,0
4.0,MO,MORTGAGE,48000.0,2.88,0,999.0,2,26,9,147217,2489,0,0,999.0,0,0,2,3,0.0,9,0,1,25000,18,6,1,2,100.0,0,0,house,individual,6000,36,48000.0,2.88,1,1,0,0,14,0.125,0.041666666666666664,0.01690701481486513,0.34615384615384615,0.16666666666666666,0.3333333333333333,0.11538461538461539,1.8571428571428572,0.14285714285714285,0,0,Midwest,10.778977123006351,8.699681400989514,0
4.0,CA,MORTGAGE,106000.0,26.25,0,999.0,2,36,15,405236,105548,0,0,999.0,0,0,2,4,0.0,15,0,8,62120,26,12,12,4,100.0,0,0,debt_consolidation,individual,12000,36,106000.0,26.25,1,1,0,0,19,0.11320754716981132,0.03773584905660377,0.260460571123987,0.4166666666666667,1.0,0.46153846153846156,0.1111111111111111,1.894736842105263,0.10526315789473684,0,0,West,11.571203807011969,9.392745258631441,0
3.0,TX,MORTGAGE,245000.0,24.9,0,68.0,1,37,20,772243,497876,0,0,68.0,0,0,13,4,6.0,20,0,2,74100,8,6,2,1,100.0,0,0,debt_consolidation,individual,40000,60,245000.0,24.9,0,0,0,0,14,0.16326530612244897,0.03265306122448979,0.6447141638059523,0.5405405405405406,0.3333333333333333,0.75,0.10810810810810811,2.642857142857143,0.07142857142857142,0,0,South,12.409017571151187,10.596659732783579,0
9.0,AR,MORTGAGE,50000.0,36.75,1,3.0,0,31,20,246210,51523,0,0,999.0,0,0,2,3,17.0,20,0,8,71100,26,17,10,2,90.3,0,0,credit_card,joint,19000,60,101000.0,20.92,0,1,0,0,34,0.18811881188118812,0.03762376237623763,0.20926444904756103,0.6451612903225806,0.5882352941176471,0.6538461538461539,0.0967741935483871,0.9117647058823529,0.0,1,1,South,11.522885696764481,9.852246888342531,0
3.0,SC,MORTGAGE,80000.0,28.3,0,35.0,0,27,14,250359,113927,0,0,999.0,0,0,2,4,20.0,14,0,3,23800,14,11,6,4,96.3,0,0,debt_consolidation,individual,28000,60,80000.0,28.3,0,1,0,0,12,0.35,0.06999999999999999,0.4550545416781502,0.5185185185185185,0.5454545454545454,0.7857142857142857,0.14814814814814814,2.25,0.0,0,0,South,11.289794413577894,10.239995502805316,0
10.0,CA,MORTGAGE,140000.0,13.82,0,999.0,2,21,12,631258,69647,0,0,999.0,0,0,2,5,0.0,12,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,140000.0,13.82,1,1,0,0,23,0.10714285714285714,0.02142857142857143,0.11033048294041423,0.5714285714285714,0.3333333333333333,0.6923076923076923,0.23809523809523808,0.9130434782608695,0.08695652173913043,0,0,West,11.849404844423074,9.61587214452889,0
1.0,MD,OWN,70000.0,0.0,0,31.0,0,13,3,30400,92,0,0,999.0,0,0,0,0,999.0,3,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,70000.0,0.0,0,1,1,0,12,0.03428571428571429,0.01142857142857143,0.0030263157894736843,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.0,1.0833333333333333,0.0,0,0,South,11.156264806643742,7.783640596221253,0
2.0,MD,RENT,45000.0,10.59,0,999.0,1,9,7,14500,13304,0,0,999.0,0,0,0,0,6.0,7,0,4,11300,8,7,6,0,100.0,0,0,debt_consolidation,individual,10000,36,45000.0,10.59,1,1,0,0,13,0.2222222222222222,0.07407407407407407,0.9175172413793103,0.7777777777777778,0.8571428571428571,0.875,0.0,0.6923076923076923,0.07692307692307693,0,0,South,10.714439990727769,9.210440366976517,0
10.0,NJ,MORTGAGE,70000.0,17.06,0,102.0,2,21,14,363649,29954,0,0,102.0,0,0,3,4,7.0,14,0,3,12900,15,10,7,2,95.2,0,0,car,joint,24000,60,105000.0,13.27,0,0,0,0,28,0.22857142857142856,0.045714285714285714,0.08237063762034269,0.6666666666666666,0.7,0.6666666666666666,0.19047619047619047,0.75,0.07142857142857142,0,0,Northeast,11.561725152903833,10.085850775128717,1
2.0,PA,RENT,75000.0,18.53,0,999.0,2,12,6,55075,34186,0,0,999.0,0,0,2,3,2.0,6,0,1,19600,9,4,2,0,100.0,0,0,other,individual,9500,36,75000.0,18.53,1,1,0,0,10,0.12666666666666668,0.042222222222222223,0.6207172038129823,0.5,0.5,0.4444444444444444,0.25,1.2,0.2,0,0,Northeast,11.225256725762893,9.15915233520675,0
2.0,CA,RENT,53592.0,7.1,0,999.0,0,6,4,42499,10466,2,0,999.0,0,3943,1,1,14.0,4,0,1,18800,3,3,2,1,100.0,0,0,other,individual,30000,36,53592.0,7.1,1,1,0,0,7,0.5597850425436632,0.1865950141812211,0.24626461799101154,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.8571428571428571,0.0,2,1,West,10.889173741515435,10.308985993422082,0
6.0,MI,MORTGAGE,19000.0,24.79,0,999.0,0,12,6,23234,12435,0,1,999.0,0,154,0,2,13.0,6,0,2,3000,8,5,4,1,100.0,0,1,other,joint,10000,60,43000.0,17.15,1,1,0,1,12,0.23255813953488372,0.04651162790697674,0.535207024188689,0.5,0.8,0.625,0.16666666666666666,1.0,0.0,2,1,Midwest,10.668978650219241,9.210440366976517,0
5.0,MD,RENT,90000.0,15.72,0,999.0,8,24,10,77285,51012,0,0,999.0,0,0,2,4,3.0,10,0,2,23900,11,8,3,3,100.0,0,0,moving,individual,15000,60,90000.0,15.72,1,1,0,0,11,0.16666666666666666,0.03333333333333333,0.6600504625735912,0.4166666666666667,0.375,0.7272727272727273,0.16666666666666666,2.1818181818181817,0.7272727272727273,0,0,South,11.407576060361786,9.61587214452889,0
10.0,VA,RENT,77000.0,14.82,0,80.0,0,29,14,74852,44015,0,0,80.0,0,0,2,5,16.0,14,0,3,27700,19,11,6,3,96.6,0,0,debt_consolidation,individual,35000,60,77000.0,14.82,0,0,0,0,39,0.45454545454545453,0.09090909090909091,0.5880270400256506,0.4827586206896552,0.5454545454545454,0.5789473684210527,0.1724137931034483,0.7435897435897436,0.0,0,0,South,11.251573687764477,10.463131911491967,0
2.0,TX,RENT,42000.0,25.89,0,999.0,1,11,6,43239,31094,0,0,999.0,0,0,3,4,1.0,6,0,2,8300,7,3,3,0,100.0,0,0,credit_card,individual,10000,36,42000.0,25.89,1,1,0,0,12,0.23809523809523808,0.07936507936507936,0.7191193135826452,0.5454545454545454,1.0,0.42857142857142855,0.36363636363636365,0.9166666666666666,0.08333333333333333,0,0,South,10.645448706505872,9.210440366976517,0
4.0,TX,MORTGAGE,130000.0,13.51,0,999.0,2,15,11,403408,49857,0,0,999.0,0,667,2,9,8.0,11,0,2,34300,7,6,4,2,100.0,0,0,home_improvement,individual,40000,60,130000.0,13.51,1,1,0,0,25,0.3076923076923077,0.061538461538461535,0.12358951731249752,0.7333333333333333,0.6666666666666666,0.8571428571428571,0.6,0.6,0.08,0,0,South,11.775297421715827,10.596659732783579,0
10.0,NC,OWN,76300.0,10.71,0,68.0,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,76300.0,10.71,0,0,0,0,36,0.1965923984272608,0.0655307994757536,0.14327166230790844,0.4,0.4444444444444444,0.42857142857142855,0.23333333333333334,0.8333333333333334,0.1111111111111111,2,1,South,11.242441323346558,9.61587214452889,0
2.0,FL,MORTGAGE,190000.0,2.68,0,999.0,0,17,9,175300,18870,0,0,999.0,0,0,0,4,16.0,9,0,4,78300,10,8,5,1,100.0,0,0,debt_consolidation,individual,20000,36,190000.0,2.68,1,1,0,0,12,0.10526315789473684,0.03508771929824561,0.1076440387906446,0.5294117647058824,0.625,0.8,0.23529411764705882,1.4166666666666667,0.0,0,0,South,12.154784614286667,9.90353755128617,0
0.0,TX,RENT,41000.0,25.7,0,999.0,0,23,7,29311,13527,0,0,999.0,0,0,2,1,17.0,7,0,5,10300,7,5,5,2,100.0,0,0,debt_consolidation,individual,4500,36,41000.0,25.7,1,1,0,0,8,0.10975609756097561,0.03658536585365854,0.46149909590256216,0.30434782608695654,1.0,0.7142857142857143,0.043478260869565216,2.875,0.0,0,0,South,10.62135173563291,8.412054873292933,0
2.0,NE,RENT,30000.0,3.64,0,999.0,0,9,7,18000,5542,0,0,999.0,0,0,0,1,999.0,7,0,2,17000,8,7,3,0,100.0,0,0,car,individual,16000,60,30000.0,3.64,1,1,1,0,4,0.5333333333333333,0.10666666666666667,0.3078888888888889,0.7777777777777778,0.42857142857142855,0.875,0.1111111111111111,2.25,0.0,0,0,Midwest,10.308985993422082,9.680406499268875,0
6.0,NC,MORTGAGE,88000.0,17.24,0,61.0,2,39,25,404236,199983,0,0,999.0,0,0,18,5,3.0,25,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,88000.0,17.24,0,1,0,0,12,0.11363636363636363,0.03787878787878788,0.49471843180716213,0.6410256410256411,0.6666666666666666,0.75,0.1282051282051282,3.25,0.16666666666666666,0,0,South,11.385103457032141,9.210440366976517,0
2.0,TX,MORTGAGE,115000.0,18.72,0,26.0,6,21,15,394519,69124,0,0,42.0,0,0,2,11,1.0,15,0,8,40150,12,10,5,2,76.0,0,0,debt_consolidation,individual,20000,60,115000.0,18.72,0,0,0,0,11,0.17391304347826086,0.03478260869565217,0.17521082634803392,0.7142857142857143,0.5,0.8333333333333334,0.5238095238095238,1.9090909090909092,0.5454545454545454,0,0,South,11.652696102959753,9.90353755128617,0
10.0,TX,RENT,95731.0,19.64,0,999.0,1,37,15,86768,53109,0,0,999.0,0,0,2,10,4.0,15,0,2,33700,21,13,4,0,100.0,0,0,debt_consolidation,individual,20600,60,95731.0,19.64,1,1,0,0,14,0.2151863032873364,0.043037260657467276,0.6120804905034114,0.40540540540540543,0.3076923076923077,0.6190476190476191,0.2702702702702703,2.642857142857143,0.07142857142857142,0,0,South,11.469307899814504,9.933094897288786,0
2.0,CA,RENT,127000.0,9.12,1,7.0,0,11,9,74518,34313,0,0,999.0,0,0,1,2,18.0,9,0,3,32300,9,8,4,0,100.0,0,0,major_purchase,individual,35000,60,127000.0,9.12,0,1,0,0,3,0.2755905511811024,0.05511811023622047,0.4604659276953219,0.8181818181818182,0.5,0.8888888888888888,0.18181818181818182,3.6666666666666665,0.0,1,1,West,11.751950239425476,10.463131911491967,0
10.0,GA,MORTGAGE,75000.0,22.91,0,999.0,0,27,8,224758,63799,0,0,999.0,0,0,4,1,999.0,8,0,1,23000,8,3,1,3,100.0,0,0,debt_consolidation,joint,10000,36,145000.0,22.42,1,1,1,0,23,0.06896551724137931,0.022988505747126436,0.2838564144546579,0.2962962962962963,0.3333333333333333,0.375,0.037037037037037035,1.173913043478261,0.0,0,0,South,11.884495917930655,9.210440366976517,0
5.0,NC,MORTGAGE,70000.0,21.41,0,999.0,1,21,6,279995,52244,0,0,999.0,0,0,2,4,9.0,6,0,1,14800,10,3,2,3,100.0,0,0,debt_consolidation,individual,12000,36,70000.0,21.41,1,1,0,0,8,0.17142857142857143,0.05714285714285714,0.18658904623296846,0.2857142857142857,0.6666666666666666,0.3,0.19047619047619047,2.625,0.125,0,0,South,11.156264806643742,9.392745258631441,0
6.0,FL,OWN,22000.0,13.05,0,49.0,0,6,3,130600,4277,0,0,49.0,0,0,0,0,999.0,3,0,1,2300,3,2,2,1,80.0,0,0,debt_consolidation,joint,1925,36,40000.0,22.39,0,0,1,1,32,0.048125,0.016041666666666666,0.03274885145482389,0.5,1.0,0.6666666666666666,0.0,0.1875,0.0,0,0,South,10.596659732783579,7.563200592358071,0
8.0,NJ,MORTGAGE,75000.0,20.16,0,999.0,4,39,23,365595,30262,0,0,999.0,0,391,2,9,0.0,23,0,6,49600,31,20,7,1,100.0,0,0,house,individual,15000,36,75000.0,20.16,1,1,0,0,10,0.2,0.06666666666666667,0.08277465501442853,0.5897435897435898,0.35,0.6451612903225806,0.23076923076923078,3.9,0.4,0,0,Northeast,11.225256725762893,9.61587214452889,0
10.0,NV,MORTGAGE,73000.0,39.08,0,999.0,8,28,24,146435,51162,0,1,999.0,0,0,3,9,0.0,24,0,8,40600,24,21,13,1,100.0,0,1,debt_consolidation,individual,20000,36,73000.0,39.08,1,1,0,0,9,0.273972602739726,0.09132420091324202,0.349383685594291,0.8571428571428571,0.6190476190476191,0.875,0.32142857142857145,3.111111111111111,0.8888888888888888,2,1,West,11.19822841866684,9.90353755128617,0
6.0,NV,MORTGAGE,76000.0,14.62,0,999.0,2,15,14,368543,24135,0,0,999.0,0,0,2,9,12.0,14,0,5,56300,11,11,5,2,100.0,0,0,debt_consolidation,individual,6000,36,76000.0,14.62,1,1,0,1,7,0.07894736842105263,0.02631578947368421,0.06548760931560225,0.9333333333333333,0.45454545454545453,1.0,0.6,2.142857142857143,0.2857142857142857,0,0,West,11.23850177707664,8.699681400989514,0
10.0,CO,RENT,188000.0,11.64,0,999.0,1,26,24,80444,45181,0,0,999.0,0,0,2,10,6.0,24,0,15,28500,22,22,20,0,100.0,0,0,debt_consolidation,individual,10000,36,188000.0,11.64,1,1,0,0,11,0.05319148936170213,0.01773049645390071,0.5616453682064542,0.9230769230769231,0.9090909090909091,1.0,0.38461538461538464,2.3636363636363638,0.09090909090909091,0,0,West,12.144202560946876,9.210440366976517,0
8.0,WV,MORTGAGE,50000.0,12.15,0,80.0,8,27,13,97664,21687,0,1,999.0,0,0,1,3,10.0,13,0,4,25600,21,11,4,2,96.2,0,1,debt_consolidation,individual,25000,36,50000.0,12.15,0,1,0,0,9,0.5,0.16666666666666666,0.22205725753604194,0.48148148148148145,0.36363636363636365,0.5238095238095238,0.1111111111111111,3.0,0.8888888888888888,2,1,South,10.819798284210286,10.12667110305036,0
